"","69","123","128","236","241","690"
"3012001",0,3,0,0,0,0
"3012002",0,7,1,0,0,0
"3012003",0,1,0,0,0,0
"3012004",3,0,0,0,0,0
"3012005",3,1,0,0,0,0
"3012006",6,0,0,1,0,0
"3012007",6,0,0,0,0,0
"3012008",0,7,0,0,0,0
"3012009",1,3,0,0,0,0
"3012010",5,0,0,0,0,0
"3012011",0,4,0,0,1,0
"3012012",0,1,0,0,0,0
"3012013",0,4,0,0,0,0
"3012014",2,0,0,0,0,0
"3012015",1,0,0,0,0,0
"3012016",3,0,0,0,0,1
"3012017",0,2,0,0,0,0
"3012018",0,1,0,0,0,0
"3012019",1,0,0,0,0,0
"3012020",0,1,0,0,0,0
"3012021",0,3,0,0,0,0
"3012022",0,1,0,0,0,0
"3012023",1,0,0,0,0,0
"3012024",5,1,0,0,0,0
